X,Y,Z
4.679,20.244,207.101
4.679,20.343,207.101
4.679,20.442,207.101
4.679,20.541,207.101
4.679,20.641,207.101
4.679,20.74,207.101
4.679,20.839,207.101
4.679,20.938,207.101
4.679,21.038,207.101
4.679,21.137,207.101
4.679,21.236,207.101
4.679,21.335,207.101
4.679,21.435,207.101
4.679,21.633,207.101
4.679,21.831,207.101
4.782,22.059,207.376
4.782,22.159,207.376
4.782,22.258,207.376
4.782,22.357,207.376
4.782,22.457,207.376
4.782,22.556,207.376
4.782,22.655,207.376
4.782,22.755,207.376
4.782,22.854,207.376
4.782,22.953,207.376
4.782,23.053,207.376
4.782,23.152,207.376
4.782,23.55,207.376
4.885,23.78,207.651
4.885,23.879,207.651
4.885,23.979,207.651
4.885,24.078,207.651
4.885,24.178,207.651
4.885,24.277,207.651
4.885,24.377,207.651
4.885,24.476,207.651
4.885,24.576,207.651
4.885,24.675,207.651
4.885,25.073,207.651
4.989,25.107,207.927
4.989,25.306,207.927
4.989,25.406,207.927
4.989,25.505,207.927
4.989,25.605,207.927
4.989,25.704,207.927
4.989,25.804,207.927
4.989,25.904,207.927
4.989,26.003,207.927
4.989,26.103,207.927
4.989,26.203,207.927
4.989,26.402,207.927
4.989,26.601,207.927
4.885,26.665,207.651
4.989,26.701,207.927
4.989,27.0,207.927
4.989,27.099,207.927
4.989,27.199,207.927
4.989,27.298,207.927
4.989,27.398,207.927
4.989,27.498,207.927
4.989,27.597,207.927
4.989,27.697,207.927
4.989,27.797,207.927
4.989,27.896,207.927
4.989,27.996,207.927
4.989,28.195,207.927
4.989,28.394,207.927
5.093,28.532,208.203
5.197,28.67,208.481
5.197,28.77,208.481
5.197,28.87,208.481
5.197,28.97,208.481
5.197,29.069,208.481
5.197,29.169,208.481
5.197,29.269,208.481
5.197,29.369,208.481
5.197,29.469,208.481
5.197,29.569,208.481
5.197,29.669,208.481
5.197,29.769,208.481
5.197,29.869,208.481
5.197,29.968,208.481
5.197,30.068,208.481
5.197,30.168,208.481
5.197,30.268,208.481
5.197,30.368,208.481
5.197,30.468,208.481
5.197,30.568,208.481
5.197,30.668,208.481
5.197,30.768,208.481
5.197,30.868,208.481
5.197,30.967,208.481
5.197,31.067,208.481
5.197,31.167,208.481
5.197,31.267,208.481
5.197,31.367,208.481
5.197,31.467,208.481
5.197,31.567,208.481
5.197,31.667,208.481
5.197,31.767,208.481
5.197,31.866,208.481
5.197,31.966,208.481
5.197,32.066,208.481
5.197,32.266,208.481
5.197,32.366,208.481
5.197,32.566,208.481
5.301,32.709,208.759
5.301,32.809,208.759
5.301,32.909,208.759
5.301,33.009,208.759
5.301,33.109,208.759
5.301,33.209,208.759
5.301,33.309,208.759
5.301,33.409,208.759
5.301,33.509,208.759
5.301,33.709,208.759
5.405,33.955,209.037
5.405,34.155,209.037
5.405,34.355,209.037
5.405,34.456,209.037
5.405,34.556,209.037
5.405,34.656,209.037
